INFO:smsconfirmation.views: {'errorCode': 40003, 'message': 'Invalid identity or code.', 'reference': 'A:155edefb-991d-4e14-864e-4e9451a21bd6_XJRZVgjou0GwQGP4E+xA0Q'} (2017-01-13 09:54:10; views.py:188)
INFO:smsconfirmation.views: {'errorCode': 40003, 'message': 'Invalid identity or code.', 'reference': 'A:155edefb-991d-4e14-864e-4e9451a21bd6_eCpMhW2xpU2ttq60gdG3wQ'} (2017-01-13 09:55:57; views.py:188)
INFO:smsconfirmation.views: {'errorCode': 40003, 'message': 'Invalid identity or code.', 'reference': 'A:155edefb-991d-4e14-864e-4e9451a21bd6_/7f8fWYubk2PESmIHb+pgA'} (2017-01-13 10:10:29; views.py:188)
INFO:smsconfirmation.views: {'errorCode': 40003, 'message': 'Invalid identity or code.', 'reference': 'A:155edefb-991d-4e14-864e-4e9451a21bd6_RaF2ib6la0y64QvO4JYZvw'} (2017-01-13 10:11:01; views.py:188)
INFO:smsconfirmation.views: {'message': 'Invalid identity or code.', 'errorCode': 40003, 'reference': 'A:155edefb-991d-4e14-864e-4e9451a21bd6_PA1psG9t6UuHQvhbWVe/CA'} (2017-01-13 10:21:55; views.py:188)
INFO:notifications.models: Send follow request push message for id = 2, follower = 1 (2017-01-15 16:08:39; models.py:39)
INFO:notifications.models: Create following notification 1 2 (2017-01-15 18:49:52; models.py:293)
INFO:notifications.models: Send push message: type=0, user=2, text=@admin started following you., payload={'userId': 1} (2017-01-15 18:49:52; models.py:203)
INFO:notifications.models: Send follow request push message for id = 2, follower = 2 (2017-01-15 19:15:26; models.py:39)
INFO:notifications.models: Send push message: type=8, user=2, text=@admin shared a tag., payload={'tagId': '{pk}', 'userId': 1} (2017-01-15 19:25:31; models.py:203)
INFO:notifications.models: Send push message: type=0, user=2, text=@admin started following you., payload={'userId': 1} (2017-01-15 19:25:31; models.py:203)
INFO:notifications.models: Send push message: type=8, user=2, text=@admin shared a tag., payload={'tagId': '{pk}', 'userId': 1} (2017-01-15 19:25:31; models.py:203)
INFO:notifications.models: Send push message: type=8, user=2, text=@admin shared a tag., payload={'tagId': '{pk}', 'userId': 1} (2017-01-15 19:25:31; models.py:203)
INFO:notifications.models: Send push message: type=5, user=2, text=Upvoted Blast ending soon., payload={'commentId': 1, 'userId': 1, 'postId': 1, 'parentId': 1} (2017-01-15 19:25:31; models.py:203)
INFO:posts.tasks: Got ready for removal posts: [{'post_id': 1, 'user_id': 1}] (2017-01-16 10:00:27; tasks.py:102)
INFO:posts.tasks: Got own_user_ids: {1} (2017-01-16 10:00:27; tasks.py:108)
INFO:posts.tasks: Got pinned_posts [{'post_id': 1, 'user_id': 1}, {'post_id': 1, 'user_id': 1}, {'post_id': 1, 'user_id': 1}] (2017-01-16 10:00:27; tasks.py:113)
INFO:posts.tasks: Filtered pinned_posts is [] (2017-01-16 10:00:27; tasks.py:129)
INFO:posts.tasks: Got votes [{'post_id': 1, 'user_id': 1, 'is_positive': True}, {'post_id': 1, 'user_id': 2, 'is_positive': True}] (2017-01-16 10:00:27; tasks.py:136)
INFO:posts.tasks: Got post voters: [2] (2017-01-16 10:00:27; tasks.py:169)
INFO:posts.tasks: Got post downvoters: [] (2017-01-16 10:00:27; tasks.py:171)
INFO:posts.tasks: _get_post_for_users_push_list result is {'pinned': {}, 'downvote': {}, 'owner': {1: {1}}, 'upvote': {1: {2}}} (2017-01-16 10:00:27; tasks.py:189)
INFO:posts.tasks: Sending expired PUSH to {'pinned': {}, 'downvote': {}, 'owner': {1: {1}}, 'upvote': {1: {2}}} (2017-01-16 10:00:27; tasks.py:207)
INFO:posts.tasks: Sending expired push owner 1 {1} (2017-01-16 10:00:27; tasks.py:213)
INFO:posts.tasks: Ending soon PUSH message candidates 1: {1} (2017-01-16 10:00:27; tasks.py:43)
INFO:posts.tasks: Send ending soon PUSH message to 1: [1] (2017-01-16 10:00:27; tasks.py:46)
INFO:posts.tasks: Creating notifications for 1, [1], notify_type is 3 (2017-01-16 10:00:27; tasks.py:74)
INFO:posts.tasks: Created notifications for 1, [1] (2017-01-16 10:00:27; tasks.py:81)
INFO:posts.tasks: Set up ending soon markers for 1 [1] (2017-01-16 10:00:27; tasks.py:85)
INFO:posts.tasks: Sending expired push upvote 1 {2} (2017-01-16 10:00:27; tasks.py:213)
INFO:posts.tasks: Ending soon PUSH message candidates 1: {2} (2017-01-16 10:00:27; tasks.py:43)
INFO:posts.tasks: Send ending soon PUSH message to 1: [2] (2017-01-16 10:00:27; tasks.py:46)
INFO:posts.tasks: Creating notifications for 1, [2], notify_type is 5 (2017-01-16 10:00:27; tasks.py:74)
INFO:posts.tasks: Created notifications for 1, [2] (2017-01-16 10:00:27; tasks.py:81)
INFO:posts.tasks: Set up ending soon markers for 1 [2] (2017-01-16 10:00:27; tasks.py:85)
INFO:posts.tasks: Got ready for removal posts: [{'post_id': 1, 'user_id': 1}] (2017-01-16 10:01:27; tasks.py:102)
INFO:posts.tasks: Got own_user_ids: {1} (2017-01-16 10:01:27; tasks.py:108)
INFO:posts.tasks: Got pinned_posts [{'post_id': 1, 'user_id': 1}, {'post_id': 1, 'user_id': 1}, {'post_id': 1, 'user_id': 1}] (2017-01-16 10:01:27; tasks.py:113)
INFO:posts.tasks: Filtered pinned_posts is [] (2017-01-16 10:01:27; tasks.py:129)
